year,BRA_03_f08,BRA_03_f10,BRA_03_f15,BRA_03_p10,BRA_12_f08,BRA_12_f10,BRA_12_f15,BRA_12_p10,ETH_03_f08,ETH_03_f10,ETH_03_f15,ETH_03_p10,ETH_12_f08,ETH_12_f10,ETH_12_f15,ETH_12_p10,SOM_03_f08,SOM_03_f10,SOM_03_f15,SOM_03_p10,SOM_12_f08,SOM_12_f10,SOM_12_f15,SOM_12_p10
1962,0.35971685971685974,0.2876447876447876,0.14285714285714285,-1.641531158577312,0.20527670527670527,0.16859716859716858,0.08172458172458172,-1.3934347304430874,0.12187494600805128,0.06901754810322684,0.007342905026002522,-0.8293373974837208,0.2554985400577066,0.20262962387048844,0.09249756676284432,-1.4487331807613373,0.2690560547330543,0.17276230882859273,0.01699301398314027,-1.1625139713287354,0.38809600497573227,0.3257549674022902,0.16144473938491957,-1.791349959373474
1963,0.29665379665379665,0.22651222651222652,0.0945945945945946,-1.4842852433522542,0.32625482625482627,0.24002574002574004,0.11904761904761904,-1.6100775003433228,0.0,0.0,0.0,0.1108557799573083,0.02348577780081434,0.016148631916008682,0.01321722904680454,-0.1737996886173884,0.01130646289858614,0.002832168997190045,0.0,-0.07413537055253983,0.01132867598876018,0.002832168997190045,0.0,-0.10521513223648071
1964,0.14993564993564992,0.09716859716859717,0.019305019305019305,-0.9815474519362817,0.20785070785070786,0.1640926640926641,0.11068211068211069,-1.6393438875675201,0.08222901800883452,0.0660861452340227,0.014685810052005043,-0.7038547907556806,0.004405743015601513,0.0029371620104010087,0.0,-0.10566474373141925,0.28890345080355856,0.23790219576396376,0.10479025289603165,-1.5149455269177754,0.0,0.0,0.0,-0.2157689481973648
1965,0.3359073359073359,0.2651222651222651,0.14864864864864866,-1.7052090913057327,0.4092664092664093,0.3185328185328185,0.1628056628056628,-1.79921506245931,0.0,0.0,0.0,0.4586540682983211,0.35684214769893513,0.28048169456970573,0.13950943635285107,-1.6641806662082672,0.0,0.0,0.0,0.22204695641994476,0.2011617446161023,0.16433244110754472,0.05381121094661085,-1.2008692820866902
1966,0.3030888030888031,0.22844272844272845,0.12355212355212356,-1.6422474185625713,0.231016731016731,0.19240669240669242,0.12548262548262548,-1.641181058353848,0.07928609685723666,0.04992023589442342,0.01321722904680454,-0.670627124607563,0.11308073740043884,0.0675547262392232,0.008811486031203027,-0.859697014093399,0.06230771793818098,0.028321689971900446,0.0,-0.5369391627974239,0.03681819696347058,0.0,0.0,-0.5070561771290176
1967,0.5160875160875161,0.4266409266409266,0.21235521235521235,-1.8566503085588153,0.31016731016731014,0.21492921492921493,0.09202059202059203,-1.4533844752745195,0.0,0.0,0.0,1.3828850984573364,0.0,0.0,0.0,0.8549025853474935,0.0,0.0,0.0,1.587048053741455,0.0,0.0,0.0,1.353044480085373
1968,0.24002574002574004,0.20334620334620335,0.10167310167310167,-1.5121061476794155,0.23938223938223938,0.19755469755469757,0.13384813384813385,-1.6688495324208186,0.08515466173684182,0.04698307388402241,0.007342905026002522,-0.7355279496737889,0.03818310613521311,0.02056013407280706,0.0,-0.5224356055259705,0.03681819696347058,0.014160844985950223,0.002832168997190045,-0.21403760798202282,0.0,0.0,0.0,1.337562878926595
1969,0.6003861003861004,0.536036036036036,0.3307593307593308,-2.545820625204789,0.444015444015444,0.32625482625482627,0.09137709137709138,-1.4750128537416458,0.5888664282382211,0.5404032550666045,0.3450934996573311,-2.1750925183296204,0.2599388379204893,0.20706992173327113,0.04699459216641614,-1.2999972581863404,0.3626509101813699,0.30883969923475907,0.19272077034996732,-1.7953539756126702,0.08217732709885937,0.051012361584681865,0.00566433799438009,-0.756637454032898
1970,0.3236808236808237,0.2335907335907336,0.09395109395109395,-1.456223964691162,0.16344916344916344,0.1274131274131274,0.04054054054054054,-1.1699500679969788,0.42728796281898446,0.293670127910526,0.08664627930682976,-1.4637121359507244,0.12769743775808154,0.07193743269003726,0.01320571076441081,-0.8825310617685318,0.6260981596454791,0.48161311460843875,0.16152248520052875,-1.6658936142921448,0.3286426691249153,0.2380021546697469,0.04532581050012773,-1.289067268371582
1971,0.15572715572715573,0.12676962676962678,0.05662805662805663,-1.172161000115531,0.1048906048906049,0.052123552123552123,0.006435006435006435,-0.8264328891580756,0.027903039098809583,0.019091553067606556,0.004405743015601513,-0.1670459359884262,0.12188070514924815,0.09250908504523804,0.04992023589442342,-0.9615834752718607,0.08785277163832649,0.06519541966080612,0.00566433799438009,-0.6778506636619568,0.07080422492975112,0.04814687295223076,0.00566433799438009,-0.6133999228477478
